DarkZone,LightZone
Pif1,Egr1
Otub2,Egr2
Psrc1,Ccnd2
Lrrc49,Cd69
Ccnb2,Cd86
Mnd1,Cd40
Lgr5,Slamf1
Adhfe1,Ifi30
Pafah1b3,Myc
Hmmr,S1pr3
Tifa,Il4i1
Reln,Ccr6
Sepp1,Cd83
Cdkn3,Gpr183
Gcnt3,Nfkbia
Cdc20,Plscr1
Ube2c,Socs3
Serinc5,Lifr
Cenpa,Bcl2a1a
Ccnb1,Bcl2a1d
Plk1,Bcl2a1b
Cenpf,Hhex
Tgfa,Dock10
Tpx2,Hivep3
Depdc1b,Samsn1
Gpd1l,Irf4
Polh,Gimap4
Cep55,Ptger4
Nek2,Fscn1
Zkscan16,Marcks
Lmo4,Ier2
Gas2l3,Snn
Ptgr1,Bhlhe40
Aspm,Slpi
Rnf125,Matr3
Cxcr4,Rapgef4
Kif20a,Rilpl2
Kif2c,Gadd45g
Rabgap1l,Cfp
Bub1,Tyms
Nebl,Mdn1
Lig4,
Neil1,
Pde2a,
Ehf,
Racgap1,
Cdca8,
Cdc14b,
Cdc25c,
Lipc,
Mprip,
Aurka,
Gpsm2,
Spdya,
Akap12,
Kif22,
Birc5,
Pfn2,
Ddx19a,
Ldlrad4,
Gcsam,
