dataset,assay,chemistry,mouse_nr,infection,day_post_infection,organ,organ_day
spleen0_1,rna,v2,M7,naive,D0,spleen,spleen0
spleen0_2,rna,v2,M8,naive,D0,spleen,spleen0
spleen7_1,rna,v2,M9,infected,D7,spleen,spleen7
spleen7_2,rna,v2,M10,infected,D7,spleen,spleen7
spleen14_1,rna,v2,M1,infected,D14,spleen,spleen14
spleen14_2,rna,v2,M2,infected,D14,spleen,spleen14
spleen14_3,rna,v2,M3,infected,D14,spleen,spleen14
spleen28_1,rna,v2,M4,infected,D28,spleen,spleen28
spleen28_2,rna,v2,M5,infected,D28,spleen,spleen28
mln7_1,rna,v2,M9,infected,D7,mln,mln7
mln7_2,rna,v2,M10,infected,D7,mln,mln7
mln14_1,rna,v2,M1,infected,D14,mln,mln14
mln14_2,rna,v2,M2,infected,D14,mln,mln14
mln14_3,rna,v2,M3,infected,D14,mln,mln14
mln28_1,rna,v2,M4,infected,D28,mln,mln28
mln28_2,rna,v2,M5,infected,D28,mln,mln28
mln28_3,rna,v2,M6,infected,D28,mln,mln28
lung0_2,rna,v2,M8,naive,D0,lung,lung0
lung7_1,rna,v2,M9,infected,D7,lung,lung7
lung14_2,rna,v2,M2,infected,D14,lung,lung14
lung14_3,rna,v2,M3,infected,D14,lung,lung14
lung28_1,rna,v2,M4,infected,D28,lung,lung28
lung28_2,rna,v2,M5,infected,D28,lung,lung28
lung28_3,rna,v2,M6,infected,D28,lung,lung28
